time,heartrate
14:42:30,81
14:42:35,78
14:42:50,78
14:42:60,77
14:43:15,77
14:43:30,77
14:43:35,76
14:43:45,75
14:43:60,75
14:44:15,75
14:44:20,76
14:44:35,76
14:44:45,79
14:44:60,79
14:45:15,80
14:45:30,81
14:45:45,83
14:45:50,84
14:45:60,84
14:46:15,84
14:46:30,84
14:46:40,83
14:46:55,83
14:46:60,84
14:47:05,85
14:47:10,86
14:47:25,86
14:47:40,88
14:47:55,89
14:47:60,91
14:48:15,91
14:48:25,93
14:48:35,94
14:48:40,94
14:48:50,94
14:48:60,95
14:49:10,96
14:49:15,99
14:49:30,99
14:49:35,101
14:49:40,103
14:49:45,104
14:49:50,104
14:49:55,102
14:49:60,103
14:50:05,102
14:50:10,103
14:50:20,102
14:50:25,100
14:50:30,97
14:50:35,95
14:50:40,94
14:50:50,95
14:50:55,78
14:50:60,75
14:51:15,75
14:51:20,77
14:51:25,76
14:51:35,76
14:51:40,75
14:51:55,75
14:52:10,75
14:52:25,75
14:52:40,75
14:52:55,75
14:53:10,75
14:53:10,77
14:53:15,81
14:53:20,82
14:53:35,82
14:53:50,82
14:54:05,82
14:54:15,82
14:54:30,82
14:54:45,82
14:54:50,83
14:55:05,83
14:55:20,83
14:55:25,84
14:55:30,87
14:55:45,87
14:56:00,87
14:56:15,87
14:56:20,89
14:56:30,89
14:56:35,87
14:56:50,87
14:57:00,89
14:57:05,90
14:57:20,90
14:57:35,90
14:57:45,91
14:57:50,97
14:57:60,98
14:58:10,99
14:58:20,101
14:58:35,100
14:58:40,99
14:58:45,96
14:58:50,98
14:58:55,99
14:59:10,99
14:59:25,99
14:59:30,104
14:59:35,103
14:59:40,110
14:59:45,108
14:59:60,108
15:00:15,108
15:00:30,107
15:00:35,116
15:00:40,113
15:00:55,113
15:01:10,113
15:01:15,115
15:01:20,117
15:01:25,116
15:01:30,112
15:01:35,109
15:01:40,109
15:01:45,109
15:02:00,109
15:02:05,109
15:02:10,105
15:02:15,104
15:02:30,104
15:02:40,105
15:02:45,108
15:02:55,109
15:03:10,109
15:03:20,113
15:03:25,111
15:03:30,112
15:03:35,113
15:03:45,112
15:03:50,113
15:04:05,113
15:04:20,114
15:04:35,114
15:04:50,114
15:04:55,115
15:05:10,115
15:05:15,118
15:05:30,118
15:05:45,118
15:05:60,118
15:06:15,118
15:06:30,118
15:06:40,120
15:06:45,121
15:06:55,119
15:06:60,117
15:07:10,116
15:07:15,115
15:07:25,114
15:07:30,112
15:07:40,110
15:07:45,104
15:07:55,105
15:07:60,102
15:08:05,103
15:08:10,107
15:08:15,109
15:08:25,110
15:08:40,110
15:08:55,110
15:08:60,109
15:09:05,109
15:09:15,107
15:09:30,107
15:09:40,106
15:09:55,106
15:09:60,106
15:10:05,105
15:10:20,105
15:10:35,105
15:10:45,105
15:10:50,106
15:10:55,108
15:11:10,108
15:11:25,108
15:11:35,109
15:11:50,109
15:12:05,108
15:13:25,103
15:13:40,103
15:13:45,102
15:13:55,101
15:14:05,80
15:14:10,81
15:14:15,80
15:14:30,80
15:14:40,80
15:14:45,79
15:14:55,78
15:15:10,78
15:15:25,77
15:15:35,78
15:15:50,78
15:15:55,87
15:15:60,88
15:16:05,89
15:16:15,91
15:16:20,88
15:16:25,86
15:16:35,81
15:16:40,78
15:16:45,79
15:16:50,83
15:16:55,88
15:16:60,89
15:17:05,92
15:17:10,89
15:17:15,84
15:17:20,80
15:17:25,82
15:17:30,84
15:17:35,86
15:17:45,88
15:17:50,91
15:17:60,95
15:18:05,99
15:18:10,100
15:18:20,102
15:18:25,105
15:18:40,105
15:18:55,105
15:19:10,109
15:19:25,109
15:19:40,107
15:19:45,109
15:19:50,109
15:19:55,108
15:20:10,108
15:20:15,107
15:20:30,107
15:20:45,104
15:20:55,101
