,time,heartrate,steps,elevation
660,76800,87,0,0.0
661,76920,83,9,0.0
662,76980,85,0,0.0
663,77220,88,6,0.0
664,77280,80,0,0.0
665,77340,80,6,0.0
666,77400,84,0,0.0
667,77520,81,5,0.0
668,77700,81,10,0.0
669,77820,76,0,0.0
670,77940,79,17,0.0
671,78000,82,14,0.0
672,78120,80,7,0.0
673,78180,78,0,0.0
674,78420,87,0,0.0
675,78600,83,8,0.0
676,78660,79,0,0.0
677,78720,74,0,0.0
678,78960,78,13,0.0
679,79020,84,0,0.0
680,79140,95,27,0.0
681,79500,102,32,0.0
682,79620,88,0,0.0
683,79680,84,0,0.0
684,79800,64,0,0.0
685,79980,76,0,0.0
686,80100,74,0,0.0
687,80160,71,0,0.0
688,80280,66,0,0.0
689,80340,61,0,0.0
690,80400,66,0,0.0
691,80580,74,0,0.0
692,80760,67,8,0.0
693,80820,68,0,0.0
694,80940,68,0,0.0
695,81000,74,0,0.0
696,81060,72,0,0.0
697,81120,72,0,0.0
698,81180,71,70,0.0
699,81300,94,103,0.0
700,81360,104,104,0.0
701,81420,107,98,0.0
702,81480,98,100,0.0
703,81540,99,95,0.0
704,81600,92,83,0.0
705,81660,90,97,0.0
706,81720,100,102,0.0
707,81780,104,98,0.0
708,81840,104,98,0.0
709,81900,99,96,0.0
710,82020,97,98,0.0
711,82140,100,98,0.0
712,82260,97,93,0.0
713,82320,97,100,0.0
714,82380,100,99,0.0
715,82500,116,101,0.0
716,82560,109,97,0.0
717,82620,97,95,0.0
718,82680,115,91,0.0
719,82800,117,98,0.0
720,82860,100,92,0.0
721,82980,90,98,0.0
722,83160,96,99,0.0
723,83220,95,101,0.0
724,83280,95,101,0.0
725,83340,88,100,0.0
726,83400,94,99,0.0
727,83460,80,96,0.0
728,83520,89,96,0.0
729,83580,85,96,0.0
730,83640,84,100,0.0
731,83700,87,100,0.0
732,83820,90,99,0.0
733,83940,94,93,0.0
734,84000,100,97,0.0
735,84060,92,97,0.0
736,84120,85,89,0.0
737,84180,88,81,0.0
738,84300,96,101,0.0
739,84360,85,99,0.0
740,84480,101,25,0.0
741,84540,90,0,0.0
742,85380,88,7,0.0
743,85440,114,14,0.0
744,85500,105,0,0.0
745,85560,64,0,0.0
746,85680,63,0,0.0
747,85740,63,0,0.0
748,85800,63,0,0.0
749,86280,62,0,0.0
